NamePlanet,NamePlanet_link,star_name,AltName,RAdeg,DECdeg,RadiusPlanet_EU,orbital_period_EU,semi_major_axis_EU,eccentricity_EU,inclination_EU,omega_EU,tzero_tr_EU,log_g_EU,magK_EU,star_Metallicity_EU,star_Radius_EU,star_Teff_EU,Tstar_Ex,FeH_star_Ex,Rstar_Ex,loggstar_Ex,semimajoraxis_Ex,Rpl_Ex
Kepler-19 b,http://svo2.cab.inta-csic.es/vocats/v2/exostars/fichas/?id=298,KOI-84,Kepler-19,290.4208316,37.85178785,0.198,9.2869944,0.085,0.12,89.94,59.1,2454959.70597,,,-0.13,0.85,5541,,,,,,
Kepler-19 c,http://svo2.cab.inta-csic.es/vocats/v2/exostars/fichas/?id=299,KOI-84,Kepler-19,290.4208316,37.85178785,,28.731,,0.21,,23.8,,,,-0.13,0.85,5541,,,,,,
Kepler-19 d,http://svo2.cab.inta-csic.es/vocats/v2/exostars/fichas/?id=300,KOI-84,Kepler-19,290.4208316,37.85178785,,62.95,,0.05,,55.2,,,,-0.13,0.85,5541,,,,,,
Kepler-93 b,http://svo2.cab.inta-csic.es/vocats/v2/exostars/fichas/?id=364,KOI-69,Kepler-93,291.4182859,38.67233648,0.1323046343,4.72673978,0.053,,89.49,,,3.26,,-0.18,0.919,5669,,,,,,
Kepler-51 b,http://svo2.cab.inta-csic.es/vocats/v2/exostars/fichas/?id=340,Kepler-51,Kepler-51,296.479775,49.937683,0.633,45.1555023,0.2514,0.04,,,2454992.10435,,,,0.91,5803,,,,,,
Kepler-51 c,http://svo2.cab.inta-csic.es/vocats/v2/exostars/fichas/?id=341,Kepler-51,Kepler-51,296.479775,49.937683,0.803,85.3128662,0.384,0.014,,,2455128.32095,,,,0.91,5803,,,,,,
Kepler-51 d,http://svo2.cab.inta-csic.es/vocats/v2/exostars/fichas/?id=342,Kepler-51,Kepler-51,296.479775,49.937683,0.865,130.194,0.509,0.008,,,2455695.9323,,,,0.91,5803,,,,,,
Kepler-49 b,http://svo2.cab.inta-csic.es/vocats/v2/exostars/fichas/?id=334,KOI-248,Kepler-49,292.294564,40.59179384,0.24,7.2037945,,,,,2455003.28753,,,,0.53,3974,,,,,,
Kepler-49 c,http://svo2.cab.inta-csic.es/vocats/v2/exostars/fichas/?id=335,KOI-248,Kepler-49,292.294564,40.59179384,0.23,10.9129343,,,,,2455002.84919,,,,0.53,3974,,,,,,
Kepler-49 d,http://svo2.cab.inta-csic.es/vocats/v2/exostars/fichas/?id=336,KOI-248,Kepler-49,292.294564,40.59179384,0.143,2.576549,0.031,,,,,,,,0.53,3974,,,,,,
