planet_name;visit;observation;ephemeris;ephemeris_error;period;period_error;expstart;exptime;phase_error;number_of_periods 
WASP-103b;14050.03; phase curve including 1 transits 1 eclipses;2456836.296;5.50E-05;0.9255456;1.30E-06;57236.3624;103.129;6.08E-04;433
HAT-P-26b;14110.02; transit;2455304.652;2.50E-04;4.2345023;7.00E-07;57616.01733;103.129;9.03E-05;546
HAT-P-32b;14260.03; transit;2454420.446;9.00E-05;2.150008;1.00E-06;57408.28518;88.436;6.46E-04;1390
WASP-76b;14260.01; transit;2456107.855;3.40E-04;1.809886;1.00E-06;57352.36659;103.129;3.80E-04;688
HAT-P-3b;14260.15; transit;2454856.701;1.00E-04;2.899736;2.00E-06;57567.26431;89.662;6.45E-04;935
HAT-P-3b;14260.05; transit;2454856.701;1.00E-04;2.899736;2.00E-06;57442.58581;89.662;6.15E-04;892
WASP-80b;14260.14; transit;2456125.418;6.70E-05;3.0678504;2.30E-06;57560.52316;103.129;3.51E-04;468
WASP-52b;14260.18; transit;2456673.822;1.30E-04;1.7497835;1.10E-06;57628.56092;134.354;3.43E-04;546
WASP-67b;14260.21; transit;2455824.375;2.20E-04;4.61442;1.00E-05;57683.33473;89.662;8.73E-04;403
HD149026b;14260.07; transit;2454456.788;1.40E-04;2.8758911;2.50E-06;57458.55753;69.617;9.07E-04;1044
HD149026b;14260.11; transit;2454456.788;1.40E-04;2.8758911;2.50E-06;57481.53856;69.617;9.14E-04;1052
WASP-39b;14260.19; transit;2455342.969;2.00E-04;4.055259;9.00E-06;57629.46609;134.354;1.25E-03;564
WASP-39b;14260.23; transit;2455342.969;2.00E-04;4.055259;9.00E-06;57791.67868;134.354;1.34E-03;604
HAT-P-38b;14260.06; transit;2457491.876;9.00E-05;4.6403293;1.70E-06;57449.43874;134.354;-3.31E-06;-9
HAT-P-38b;14260.17; transit;2457491.876;9.00E-05;4.6403293;1.70E-06;57625.78547;134.354;1.06E-05;29
WASP-69b;14260.16; transit;2455748.834;1.80E-04;3.8681382;1.70E-06;57616.49935;69.617;2.12E-04;483
WASP-29b;14260.12; transit;2455830.188;1.60E-04;3.9227186;6.80E-06;57492.7566;112.008;7.35E-04;424
HAT-P-12b;14260.02; transit;2454419.196;9.00E-05;3.2130589;3.00E-07;57368.10375;112.008;8.57E-05;918
HAT-P-12b;14260.2; transit;2454419.196;9.00E-05;3.2130589;3.00E-07;57631.58345;112.008;9.34E-05;1000
HAT-P-18b;14260.04; transit;2454715.023;2.00E-04;5.508023;6.00E-06;57430.05838;112.008;5.37E-04;493
HAT-P-18b;14260.22; transit;2454715.023;2.00E-04;5.508023;6.00E-06;57765.79263;112.008;6.03E-04;554
HAT-P-26b;14260.13; transit;2455304.652;2.50E-04;4.2345023;7.00E-07;57510.15809;112.008;8.61E-05;521
HAT-P-26b;14260.08; transit;2455304.652;2.50E-04;4.2345023;7.00E-07;57459.34494;112.008;8.41E-05;509
HATS-7b;14260.09; transit;2456528.297;5.80E-04;3.185315;5.40E-06;57464.11229;313.122;4.98E-04;294
HATS-7b;14260.1; transit;2456528.297;5.80E-04;3.185315;5.40E-06;57467.29384;313.122;5.00E-04;295
HAT-P-18b;14099.01; transit;2454715.023;2.00E-04;5.508023;6.00E-06;57325.17567;89.662;5.16E-04;474
Kepler-51b;14218.01; transit;2455714.598;4.00E-04;45.154;2.00E-04;57294.23482;103.129;1.55E-04;35
Kepler-51b;14218.03; transit;2455714.598;4.00E-04;45.154;2.00E-04;57565.22519;103.129;1.82E-04;41
Kepler-51d;14218.02; transit;2455045.034;5.79E-04;130.177466;9.84E-05;57387.27892;103.129;1.36E-05;18
Kepler-51d;14218.04; transit;2455045.034;5.79E-04;130.177466;9.84E-05;57777.78901;103.129;1.59E-05;21
