planet_name;visit;observation;ephemeris;ephemeris_error;period;period_error;expstart;exptime;phase_error;number_of_periods 
Kepler-9c;12482.04; transit;2454968.896;2.06E-01;38.94980851;2.29E-04;56293.08366;73.743;2.00E-04;34
GJ436b;11622.02; transit;2454222.616;1.20E-04;2.644;1.00E-03;56226.27081;7.624;2.87E-01;758
GJ436b;11622.03; transit;2454222.616;1.20E-04;2.644;1.00E-03;56260.41804;7.624;2.92E-01;771
GJ436b;11622.04; transit;2454222.616;1.20E-04;2.644;1.00E-03;56270.98994;7.624;2.93E-01;775
GJ436b;11622.05; transit;2454222.616;1.20E-04;2.644;1.00E-03;56294.99739;7.624;2.97E-01;784
GJ1214b;13021.01; transit;2454980.749;1.00E-04;1.58040417;2.20E-07;56197.07071;88.436;1.07E-04;770
GJ1214b;13021.15; transit;2454980.749;1.00E-04;1.58040417;2.20E-07;56524.15927;103.129;1.36E-04;977
GJ1214b;13021.02; transit;2454980.749;1.00E-04;1.58040417;2.20E-07;56203.32686;88.436;1.08E-04;774
GJ1214b;13021.03; transit;2454980.749;1.00E-04;1.58040417;2.20E-07;56211.23549;88.436;1.08E-04;779
GJ1214b;13021.04; transit;2454980.749;1.00E-04;1.58040417;2.20E-07;56219.14773;88.436;1.09E-04;784
GJ1214b;13021.07; transit;2454980.749;1.00E-04;1.58040417;2.20E-07;56366.12572;103.129;1.22E-04;877
GJ1214b;13021.06; transit;2454980.749;1.00E-04;1.58040417;2.20E-07;56364.53042;103.129;1.22E-04;876
GJ1214b;13021.05; transit;2454980.749;1.00E-04;1.58040417;2.20E-07;56321.85717;88.436;1.18E-04;849
GJ1214b;13021.13; transit;2454980.749;1.00E-04;1.58040417;2.20E-07;56508.34667;103.129;1.35E-04;967
GJ1214b;13021.08; transit;2454980.749;1.00E-04;1.58040417;2.20E-07;56378.75395;103.129;1.23E-04;885
GJ1214b;13021.09; transit;2454980.749;1.00E-04;1.58040417;2.20E-07;56386.6625;103.129;1.24E-04;890
GJ1214b;13021.1; transit;2454980.749;1.00E-04;1.58040417;2.20E-07;56394.57337;103.129;1.25E-04;895
GJ1214b;13021.11; transit;2454980.749;1.00E-04;1.58040417;2.20E-07;56413.51402;103.129;1.26E-04;907
GJ1214b;13021.12; transit;2454980.749;1.00E-04;1.58040417;2.20E-07;56479.90576;103.129;1.32E-04;949
GJ1214b;13021.14; transit;2454980.749;1.00E-04;1.58040417;2.20E-07;56516.25302;103.129;1.35E-04;972
Kepler-11d;12955.03; transit;2455594.007;6.51E-04;22.68710421;3.36E-05;56614.19166;44.97;6.66E-05;45
Kepler-11f;12955.01; transit;2455618.27;1.38E-03;46.68684772;1.51E-04;56551.33282;44.97;6.48E-05;20
Kepler-11e;12955.02; transit;2454987.163;2.06E-03;31.9954389;2.28E-06;56554.28243;44.97;3.49E-06;49
HAT-P-17b;12956.01; transit;2454801.17;2.00E-04;10.33852;9.00E-06;56620.05431;66.396;1.53E-04;176
HD189733b;12881.01; transit;2453955.526;9.00E-06;2.2185752;8.00E-08;56448.4819;5.971;4.05E-05;1124
